"Station Name","Date (Local Standard Time)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Air Temp. Avg. Comment","Air Temp. Avg. Normal (°C)","Air Temp. Avg. Normal Source Flag","Air Temp. Avg. Normal Comment"
"Calgary Int'L CS","October-2023","4.8","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","4.8","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","November-2023","1.5","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-2.1","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","December-2023","0.0","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-6.5","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","January-2024","-9.6","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-7.1","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","February-2024","-4.5","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-5.7","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","March-2024","-4.4","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-2.1","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","April-2024","5.0","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","4.1","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","May-2024","9.3","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","9.5","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","June-2024","13.3","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","13.3","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","July-2024","20.3","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","16.4","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","August-2024","16.8","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","15.8","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","September-2024","14.0","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","11.2","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","October-2024","6.7","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","4.8","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","November-2024","-3.7","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-2.1","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","December-2024","-2.8","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-6.5","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","January-2025","-4.4","AGGREGATED","99.9","Completeness breakdown - Actual: 99.866%, Estimated: 0.134%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-7.1","AGGREGATED","Computed based on years 1991-2020"
